Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;122;276;2;1;3;0;61;18;42;2;9;138;2;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;123;300;4;1;0;1;55;27;43;0;11;142;4;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;124;349;1;1;1;2;46;25;32;2;4;114;1;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;125;290;0;1;1;1;41;24;26;3;5;102;2;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;126;284;4;0;1;0;47;27;26;1;6;112;4;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;127;279;0;0;2;0;30;21;16;1;2;72;2;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;128;277;0;1;0;0;64;41;39;0;4;149;3;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;129;304;4;0;1;0;76;43;49;2;9;184;3;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;130;388;3;0;0;2;73;37;57;0;10;182;3;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;131;379;1;0;0;1;104;58;60;1;9;234;4;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;132;290;2;1;5;0;48;33;53;0;12;154;3;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;133;291;0;0;1;1;45;35;51;4;11;148;2;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;134;356;2;0;3;0;75;52;90;2;16;240;8;
153;Beauharnois;2014-04-07;G;Beauharnois, v;4;;135;315;0;0;3;1;56;48;56;2;17;183;8;
153;Beauharnois;2014-04-07;G;Saint-Étienne-de-Beauharnois, m;1;;136;364;3;1;4;0;90;46;66;1;17;228;1;
153;Beauharnois;2014-04-07;G;Saint-Étienne-de-Beauharnois, m;1;;137;315;4;0;1;2;84;46;61;4;8;210;5;
153;Beauharnois;2014-04-07;G;Saint-Louis-de-Gonzague, p;1;;138;283;3;0;2;0;55;37;60;1;13;171;4;
153;Beauharnois;2014-04-07;G;Saint-Louis-de-Gonzague, p;1;;139;327;1;0;1;2;73;23;53;0;15;168;4;
153;Beauharnois;2014-04-07;G;Saint-Louis-de-Gonzague, p;1;;140;271;0;1;1;0;60;47;34;0;7;150;3;
